id_chamado,data_abertura,data_fechamento,categoria,prioridade,status,setor_solicitante,tecnico_responsavel,equipe,tempo_resolucao_horas,sla_meta_horas,dentro_sla
INC-02442,2024-01-17 07:22,2024-01-17 20:10,Impressora,Média,Resolvido,Logística,Carlos Lima,N1,12.8,24,Sim
INC-00861,2024-01-18 10:05,2024-01-18 20:35,Software,Baixa,Resolvido,RH,Diego Alves,N2,10.5,48,Sim
INC-01127,2024-01-18 13:58,2024-01-18 14:10,Acesso/Senha,Alta,Resolvido,TI,Ana Souza,N1,0.2,8,Sim
INC-02419,2024-01-18 14:59,2024-01-18 21:05,Email,Baixa,Resolvido,TI,Ana Souza,N1,6.1,48,Sim
INC-01861,2024-01-19 09:22,2024-01-19 19:34,Rede/Internet,Alta,Resolvido,RH,Bruno Reis,N2,10.2,8,Não
INC-01097,2024-01-19 15:27,2024-01-19 18:57,Software,Alta,Resolvido,Financeiro,Bruno Reis,N2,3.5,8,Sim
INC-02018,2024-01-20 08:05,2024-01-20 08:17,Acesso/Senha,Alta,Resolvido,RH,Bruno Reis,N2,0.2,8,Sim
INC-01054,2024-01-20 10:06,2024-01-20 14:24,Email,Baixa,Resolvido,Financeiro,Carlos Lima,N1,4.3,48,Sim
INC-00397,2024-01-21 10:03,2024-01-21 17:21,Software,Média,Resolvido,Financeiro,Ana Souza,N1,7.3,24,Sim
INC-02441,2024-01-22 08:54,2024-01-22 11:48,Software,Média,Resolvido,Financeiro,Fernanda Cruz,N3,2.9,24,Sim
INC-01908,2024-01-22 09:59,2024-01-22 12:53,Email,Baixa,Resolvido,Diretoria,Diego Alves,N2,2.9,48,Sim
INC-01616,2024-01-22 11:09,2024-01-22 11:39,Acesso/Senha,Crítica,Resolvido,RH,Fernanda Cruz,N3,0.5,4,Sim
INC-01095,2024-01-22 12:51,2024-01-22 13:33,Email,Média,Resolvido,Comercial,Bruno Reis,N2,0.7,24,Sim
INC-00740,2024-01-22 14:46,2024-01-22 17:52,Impressora,Média,Resolvido,RH,Fernanda Cruz,N3,3.1,24,Sim
INC-02303,2024-01-23 11:19,2024-01-23 17:49,Rede/Internet,Média,Resolvido,Operações,Bruno Reis,N2,6.5,24,Sim
INC-02121,2024-01-23 12:44,2024-01-24 07:38,Sistema Interno,Média,Resolvido,Diretoria,Fernanda Cruz,N3,18.9,24,Sim
INC-01644,2024-01-23 13:29,2024-01-23 20:11,Hardware,Baixa,Resolvido,Financeiro,Fernanda Cruz,N3,6.7,48,Sim
INC-01487,2024-01-23 13:58,2024-01-23 14:10,Acesso/Senha,Alta,Resolvido,Financeiro,Bruno Reis,N2,0.2,8,Sim
INC-01827,2024-01-24 12:25,2024-01-24 15:01,Acesso/Senha,Média,Resolvido,RH,Diego Alves,N2,2.6,24,Sim
INC-01596,2024-01-24 16:06,2024-01-24 17:42,Email,Alta,Resolvido,Financeiro,Carlos Lima,N1,1.6,8,Sim
INC-00750,2024-01-25 08:09,2024-01-26 03:33,Rede/Internet,Média,Resolvido,Financeiro,Bruno Reis,N2,19.4,24,Sim
INC-00579,2024-01-25 09:21,2024-01-25 12:15,Acesso/Senha,Média,Resolvido,RH,Bruno Reis,N2,2.9,24,Sim
INC-01019,2024-01-25 11:42,2024-01-25 19:30,Rede/Internet,Média,Resolvido,Financeiro,Bruno Reis,N2,7.8,24,Sim
INC-02272,2024-01-25 11:58,2024-01-25 17:52,Software,Baixa,Resolvido,Financeiro,Ana Souza,N1,5.9,48,Sim
INC-00373,2024-01-25 12:33,2024-01-26 22:45,Rede/Internet,Baixa,Resolvido,Logística,Carlos Lima,N1,34.2,48,Sim
INC-02401,2024-01-25 13:33,2024-01-25 19:15,Acesso/Senha,Baixa,Resolvido,Logística,Fernanda Cruz,N3,5.7,48,Sim
INC-02498,2024-01-26 10:03,2024-01-26 10:15,Software,Baixa,Resolvido,Logística,Carlos Lima,N1,0.2,48,Sim
INC-00502,2024-01-26 15:26,2024-01-26 17:56,Impressora,Alta,Resolvido,RH,Bruno Reis,N2,2.5,8,Sim
INC-00047,2024-01-29 09:29,2024-01-30 18:53,Rede/Internet,Baixa,Resolvido,RH,Diego Alves,N2,33.4,48,Sim
INC-01289,2024-01-29 10:31,2024-01-29 14:19,Rede/Internet,Crítica,Resolvido,Financeiro,Diego Alves,N2,3.8,4,Sim
INC-01758,2024-01-29 13:07,2024-01-29 13:19,Acesso/Senha,Alta,Resolvido,Comercial,Fernanda Cruz,N3,0.2,8,Sim
INC-01413,2024-01-30 09:20,2024-01-30 11:14,Acesso/Senha,Média,Resolvido,Operações,Carlos Lima,N1,1.9,24,Sim
INC-01160,2024-01-31 12:17,2024-01-31 21:59,Acesso/Senha,Média,Resolvido,RH,Fernanda Cruz,N3,9.7,24,Sim
INC-02064,2024-02-01 08:33,2024-02-01 09:27,Acesso/Senha,Crítica,Resolvido,Financeiro,Bruno Reis,N2,0.9,4,Sim
INC-02391,2024-02-01 08:50,2024-02-01 18:02,Rede/Internet,Alta,Resolvido,Comercial,Bruno Reis,N2,9.2,8,Não
INC-01330,2024-02-02 10:32,2024-02-02 10:44,Rede/Internet,Média,Resolvido,TI,Fernanda Cruz,N3,0.2,24,Sim
INC-01792,2024-02-04 14:46,2024-02-04 21:28,Rede/Internet,Alta,Resolvido,Comercial,Carlos Lima,N1,6.7,8,Sim
INC-01118,2024-02-05 10:03,2024-02-07 03:33,Hardware,Média,Resolvido,Comercial,Fernanda Cruz,N3,41.5,24,Não
INC-02142,2024-02-05 11:25,2024-02-05 16:25,Rede/Internet,Alta,Resolvido,RH,Diego Alves,N2,5.0,8,Sim
INC-00124,2024-02-05 11:39,2024-02-05 13:39,Rede/Internet,Média,Resolvido,TI,Bruno Reis,N2,2.0,24,Sim
INC-01070,2024-02-05 11:55,2024-02-05 13:07,Email,Baixa,Resolvido,Diretoria,Carlos Lima,N1,1.2,48,Sim
INC-00033,2024-02-07 07:27,2024-02-08 01:33,Software,Baixa,Resolvido,Financeiro,Diego Alves,N2,18.1,48,Sim
INC-00161,2024-02-07 15:57,2024-02-07 17:45,Acesso/Senha,Baixa,Resolvido,Financeiro,Diego Alves,N2,1.8,48,Sim
INC-02393,2024-02-08 07:31,2024-02-08 08:01,Acesso/Senha,Alta,Resolvido,Diretoria,Bruno Reis,N2,0.5,8,Sim
INC-00320,2024-02-08 09:59,2024-02-08 18:11,Hardware,Baixa,Resolvido,TI,Bruno Reis,N2,8.2,48,Sim
INC-01321,2024-02-08 13:12,2024-02-08 15:06,Software,Alta,Resolvido,RH,Diego Alves,N2,1.9,8,Sim
INC-00595,2024-02-08 14:19,2024-02-09 05:37,Rede/Internet,Baixa,Resolvido,Logística,Ana Souza,N1,15.3,48,Sim
INC-02056,2024-02-09 07:04,2024-02-09 08:10,Rede/Internet,Alta,Resolvido,Financeiro,Bruno Reis,N2,1.1,8,Sim
INC-02090,2024-02-12 08:55,2024-02-12 12:55,Email,Alta,Resolvido,Comercial,Fernanda Cruz,N3,4.0,8,Sim
INC-01675,2024-02-12 13:51,2024-02-12 19:39,Rede/Internet,Média,Resolvido,Diretoria,Ana Souza,N1,5.8,24,Sim
INC-00285,2024-02-13 09:04,2024-02-13 17:58,Sistema Interno,Baixa,Resolvido,TI,Carlos Lima,N1,8.9,48,Sim
INC-01556,2024-02-14 08:05,2024-02-14 09:41,Hardware,Crítica,Resolvido,RH,Fernanda Cruz,N3,1.6,4,Sim
INC-02278,2024-02-14 10:36,2024-02-14 11:42,Acesso/Senha,Baixa,Resolvido,Operações,Carlos Lima,N1,1.1,48,Sim
INC-02250,2024-02-14 12:37,2024-02-14 19:13,Sistema Interno,Média,Resolvido,RH,Bruno Reis,N2,6.6,24,Sim
INC-01190,2024-02-14 13:08,2024-02-14 16:08,Email,Baixa,Resolvido,TI,Bruno Reis,N2,3.0,48,Sim
INC-00014,2024-02-15 08:38,2024-02-15 15:44,Software,Média,Resolvido,Logística,Fernanda Cruz,N3,7.1,24,Sim
INC-02015,2024-02-15 10:52,2024-02-15 14:22,Email,Baixa,Resolvido,Comercial,Bruno Reis,N2,3.5,48,Sim
INC-01737,2024-02-16 07:18,2024-02-16 10:54,Impressora,Alta,Resolvido,RH,Fernanda Cruz,N3,3.6,8,Sim
INC-01722,2024-02-16 13:13,2024-02-16 18:01,Software,Baixa,Resolvido,Diretoria,Carlos Lima,N1,4.8,48,Sim
INC-02487,2024-02-19 09:53,2024-02-19 15:05,Acesso/Senha,Média,Resolvido,Operações,Ana Souza,N1,5.2,24,Sim
INC-00749,2024-02-19 12:10,2024-02-19 12:22,Acesso/Senha,Média,Resolvido,Financeiro,Fernanda Cruz,N3,0.2,24,Sim
INC-00849,2024-02-19 12:39,2024-02-20 04:15,Hardware,Baixa,Resolvido,Logística,Carlos Lima,N1,15.6,48,Sim
INC-01574,2024-02-19 15:14,2024-02-23 15:02,Sistema Interno,Baixa,Resolvido,TI,Carlos Lima,N1,95.8,48,Não
INC-00255,2024-02-20 08:33,2024-02-20 19:51,Rede/Internet,Média,Resolvido,Diretoria,Bruno Reis,N2,11.3,24,Sim
INC-01705,2024-02-20 12:33,2024-02-20 14:09,Acesso/Senha,Baixa,Resolvido,Logística,Ana Souza,N1,1.6,48,Sim
INC-01113,2024-02-20 12:40,2024-02-20 17:22,Acesso/Senha,Baixa,Resolvido,Diretoria,Ana Souza,N1,4.7,48,Sim
INC-00188,2024-02-21 14:36,2024-02-22 08:54,Hardware,Média,Resolvido,Operações,Diego Alves,N2,18.3,24,Sim
INC-00115,2024-02-21 18:17,2024-02-22 03:17,Hardware,Média,Resolvido,Financeiro,Diego Alves,N2,9.0,24,Sim
INC-00142,2024-02-22 07:43,2024-02-22 22:37,Software,Alta,Resolvido,TI,Carlos Lima,N1,14.9,8,Não
INC-00238,2024-02-23 08:59,2024-02-23 10:11,Email,Alta,Resolvido,TI,Bruno Reis,N2,1.2,8,Sim
INC-00240,2024-02-23 11:22,2024-02-23 12:10,Rede/Internet,Baixa,Resolvido,Diretoria,Ana Souza,N1,0.8,48,Sim
INC-01006,2024-02-23 12:23,2024-02-23 13:59,Email,Baixa,Resolvido,Comercial,Ana Souza,N1,1.6,48,Sim
INC-00840,2024-02-24 11:30,2024-02-24 12:18,Impressora,Baixa,Resolvido,Operações,Fernanda Cruz,N3,0.8,48,Sim
INC-00701,2024-02-26 09:30,2024-02-26 12:24,Hardware,Crítica,Resolvido,Operações,Bruno Reis,N2,2.9,4,Sim
INC-00671,2024-02-26 09:50,2024-02-26 10:26,Acesso/Senha,Crítica,Resolvido,Financeiro,Fernanda Cruz,N3,0.6,4,Sim
INC-01056,2024-02-26 09:59,2024-02-26 11:29,Rede/Internet,Alta,Resolvido,Operações,Ana Souza,N1,1.5,8,Sim
INC-00851,2024-02-26 13:16,2024-02-26 19:22,Impressora,Média,Resolvido,Operações,Fernanda Cruz,N3,6.1,24,Sim
INC-00455,2024-02-26 14:10,2024-02-26 15:10,Acesso/Senha,Baixa,Resolvido,Financeiro,Carlos Lima,N1,1.0,48,Sim
INC-01332,2024-02-26 14:29,2024-02-26 14:41,Email,Média,Resolvido,Diretoria,Carlos Lima,N1,0.2,24,Sim
INC-00664,2024-02-27 10:20,2024-02-27 18:14,Email,Média,Resolvido,Comercial,Fernanda Cruz,N3,7.9,24,Sim
INC-01301,2024-02-27 10:50,2024-02-27 13:50,Hardware,Alta,Resolvido,RH,Bruno Reis,N2,3.0,8,Sim
INC-00879,2024-02-27 11:15,2024-02-27 18:03,Software,Baixa,Resolvido,Financeiro,Ana Souza,N1,6.8,48,Sim
INC-00492,2024-02-27 11:38,2024-02-28 01:14,Hardware,Média,Resolvido,RH,Diego Alves,N2,13.6,24,Sim
INC-01215,2024-02-28 07:59,2024-02-28 09:41,Acesso/Senha,Alta,Resolvido,Comercial,Bruno Reis,N2,1.7,8,Sim
INC-02316,2024-02-28 08:09,2024-02-29 05:51,Software,Média,Resolvido,RH,Ana Souza,N1,21.7,24,Sim
INC-01712,2024-02-28 10:16,2024-02-29 00:46,Rede/Internet,Baixa,Resolvido,Operações,Ana Souza,N1,14.5,48,Sim
INC-01483,2024-02-28 10:48,2024-02-28 15:54,Hardware,Média,Resolvido,RH,Diego Alves,N2,5.1,24,Sim
INC-01038,2024-03-01 07:50,2024-03-02 11:50,Hardware,Baixa,Resolvido,Logística,Diego Alves,N2,28.0,48,Sim
INC-02180,2024-03-04 09:59,2024-03-04 12:23,Acesso/Senha,Média,Resolvido,Operações,Bruno Reis,N2,2.4,24,Sim
INC-00067,2024-03-04 17:07,2024-03-04 18:07,Acesso/Senha,Média,Resolvido,RH,Diego Alves,N2,1.0,24,Sim
INC-00956,2024-03-05 09:51,2024-03-05 13:03,Software,Baixa,Resolvido,RH,Diego Alves,N2,3.2,48,Sim
INC-00306,2024-03-06 17:07,2024-03-06 18:19,Acesso/Senha,Baixa,Resolvido,Diretoria,Fernanda Cruz,N3,1.2,48,Sim
INC-01366,2024-03-07 10:34,2024-03-08 08:46,Rede/Internet,Baixa,Resolvido,Logística,Fernanda Cruz,N3,22.2,48,Sim
INC-02046,2024-03-07 11:59,2024-03-07 13:35,Rede/Internet,Crítica,Resolvido,RH,Fernanda Cruz,N3,1.6,4,Sim
INC-00371,2024-03-07 12:27,2024-03-07 23:45,Rede/Internet,Baixa,Resolvido,Comercial,Diego Alves,N2,11.3,48,Sim
INC-00388,2024-03-11 08:11,2024-03-11 10:53,Acesso/Senha,Média,Resolvido,Diretoria,Fernanda Cruz,N3,2.7,24,Sim
INC-02305,2024-03-11 08:17,2024-03-11 09:41,Acesso/Senha,Média,Resolvido,RH,Bruno Reis,N2,1.4,24,Sim
INC-00728,2024-03-11 10:11,2024-03-11 12:35,Acesso/Senha,Alta,Resolvido,Logística,Fernanda Cruz,N3,2.4,8,Sim
INC-01473,2024-03-11 10:49,2024-03-11 13:13,Acesso/Senha,Média,Resolvido,Diretoria,Carlos Lima,N1,2.4,24,Sim
INC-00091,2024-03-11 11:10,2024-03-11 11:40,Email,Alta,Resolvido,TI,Bruno Reis,N2,0.5,8,Sim
INC-01660,2024-03-11 12:20,2024-03-11 15:38,Acesso/Senha,Baixa,Resolvido,Operações,Carlos Lima,N1,3.3,48,Sim
INC-00716,2024-03-11 12:23,2024-03-11 12:35,Acesso/Senha,Média,Resolvido,Diretoria,Carlos Lima,N1,0.2,24,Sim
INC-00815,2024-03-11 19:02,2024-03-11 21:02,Impressora,Média,Resolvido,Financeiro,Fernanda Cruz,N3,2.0,24,Sim
INC-00347,2024-03-12 08:30,2024-03-12 10:00,Acesso/Senha,Alta,Resolvido,Logística,Ana Souza,N1,1.5,8,Sim
INC-00110,2024-03-12 09:08,2024-03-12 10:14,Acesso/Senha,Alta,Resolvido,Logística,Bruno Reis,N2,1.1,8,Sim
INC-01524,2024-03-12 09:26,2024-03-12 12:32,Hardware,Alta,Resolvido,TI,Bruno Reis,N2,3.1,8,Sim
INC-01423,2024-03-12 11:03,2024-03-12 12:57,Hardware,Baixa,Resolvido,TI,Bruno Reis,N2,1.9,48,Sim
INC-00697,2024-03-12 11:14,2024-03-12 15:02,Software,Alta,Resolvido,RH,Fernanda Cruz,N3,3.8,8,Sim
INC-00626,2024-03-12 12:39,2024-03-12 13:03,Software,Alta,Resolvido,Operações,Bruno Reis,N2,0.4,8,Sim
INC-02346,2024-03-12 16:09,2024-03-12 17:33,Software,Baixa,Resolvido,Comercial,Ana Souza,N1,1.4,48,Sim
INC-00622,2024-03-13 08:14,2024-03-13 20:32,Hardware,Baixa,Resolvido,Logística,Fernanda Cruz,N3,12.3,48,Sim
INC-00709,2024-03-13 09:04,2024-03-13 11:22,Software,Crítica,Resolvido,TI,Ana Souza,N1,2.3,4,Sim
INC-00498,2024-03-13 13:14,2024-03-13 14:14,Software,Alta,Resolvido,Logística,Carlos Lima,N1,1.0,8,Sim
INC-01775,2024-03-13 15:53,2024-03-15 00:17,Hardware,Baixa,Resolvido,Diretoria,Bruno Reis,N2,32.4,48,Sim
INC-01986,2024-03-14 07:20,2024-03-14 13:26,Software,Baixa,Resolvido,Operações,Ana Souza,N1,6.1,48,Sim
INC-01700,2024-03-14 10:41,2024-03-14 15:05,Software,Alta,Resolvido,Financeiro,Diego Alves,N2,4.4,8,Sim
INC-01670,2024-03-14 10:43,2024-03-14 19:55,Rede/Internet,Baixa,Resolvido,Diretoria,Ana Souza,N1,9.2,48,Sim
INC-00002,2024-03-14 11:23,2024-03-14 12:11,Email,Baixa,Resolvido,Financeiro,Fernanda Cruz,N3,0.8,48,Sim
INC-00932,2024-03-16 07:32,2024-03-16 10:02,Software,Média,Resolvido,Logística,Diego Alves,N2,2.5,24,Sim
INC-01236,2024-03-18 07:47,2024-03-18 08:23,Acesso/Senha,Média,Resolvido,Logística,Fernanda Cruz,N3,0.6,24,Sim
INC-02131,2024-03-18 07:50,2024-03-18 12:26,Rede/Internet,Baixa,Resolvido,RH,Fernanda Cruz,N3,4.6,48,Sim
INC-00311,2024-03-18 08:29,2024-03-18 08:47,Email,Média,Resolvido,Operações,Diego Alves,N2,0.3,24,Sim
INC-00569,2024-03-18 13:34,2024-03-18 14:34,Acesso/Senha,Baixa,Resolvido,Comercial,Diego Alves,N2,1.0,48,Sim
INC-02353,2024-03-19 07:07,2024-03-19 07:55,Software,Média,Resolvido,Financeiro,Bruno Reis,N2,0.8,24,Sim
INC-00582,2024-03-19 07:44,2024-03-20 15:02,Software,Média,Resolvido,Operações,Ana Souza,N1,31.3,24,Não
INC-00229,2024-03-19 10:01,2024-03-19 13:31,Software,Alta,Resolvido,Logística,Ana Souza,N1,3.5,8,Sim
INC-00814,2024-03-19 10:07,2024-03-19 10:25,Hardware,Crítica,Resolvido,RH,Carlos Lima,N1,0.3,4,Sim
INC-00972,2024-03-19 10:18,2024-03-19 13:36,Acesso/Senha,Baixa,Resolvido,RH,Ana Souza,N1,3.3,48,Sim
INC-01455,2024-03-19 10:55,2024-03-19 13:55,Software,Média,Resolvido,RH,Bruno Reis,N2,3.0,24,Sim
INC-00565,2024-03-19 11:13,2024-03-19 11:25,Acesso/Senha,Média,Resolvido,Diretoria,Diego Alves,N2,0.2,24,Sim
INC-00387,2024-03-19 15:39,2024-03-19 16:39,Acesso/Senha,Baixa,Resolvido,Comercial,Bruno Reis,N2,1.0,48,Sim
INC-00368,2024-03-20 12:48,2024-03-20 14:06,Impressora,Média,Resolvido,RH,Ana Souza,N1,1.3,24,Sim
INC-01892,2024-03-21 08:05,2024-03-21 09:41,Acesso/Senha,Baixa,Resolvido,Logística,Ana Souza,N1,1.6,48,Sim
INC-00095,2024-03-21 09:36,2024-03-21 11:24,Acesso/Senha,Baixa,Resolvido,TI,Bruno Reis,N2,1.8,48,Sim
INC-01326,2024-03-21 10:16,2024-03-21 15:04,Rede/Internet,Baixa,Resolvido,Financeiro,Diego Alves,N2,4.8,48,Sim
INC-02381,2024-03-21 10:37,2024-03-21 11:13,Rede/Internet,Baixa,Resolvido,Financeiro,Fernanda Cruz,N3,0.6,48,Sim
INC-02408,2024-03-21 14:05,2024-03-21 14:23,Rede/Internet,Crítica,Resolvido,Diretoria,Ana Souza,N1,0.3,4,Sim
INC-00706,2024-03-21 15:19,2024-03-21 21:25,Hardware,Baixa,Resolvido,Diretoria,Bruno Reis,N2,6.1,48,Sim
INC-01106,2024-03-22 09:39,2024-03-22 10:57,Software,Média,Resolvido,Logística,Diego Alves,N2,1.3,24,Sim
INC-01466,2024-03-22 11:14,2024-03-22 12:44,Acesso/Senha,Alta,Resolvido,RH,Diego Alves,N2,1.5,8,Sim
INC-02265,2024-03-22 12:51,2024-03-22 15:15,Software,Baixa,Resolvido,Operações,Bruno Reis,N2,2.4,48,Sim
INC-01563,2024-03-23 08:38,2024-03-23 18:02,Sistema Interno,Crítica,Resolvido,TI,Fernanda Cruz,N3,9.4,4,Não
INC-00439,2024-03-24 13:35,2024-03-25 01:35,Email,Média,Resolvido,RH,Carlos Lima,N1,12.0,24,Sim
INC-00468,2024-03-24 15:48,2024-03-24 17:36,Rede/Internet,Alta,Resolvido,RH,Bruno Reis,N2,1.8,8,Sim
INC-00126,2024-03-25 08:37,2024-03-25 08:49,Email,Baixa,Resolvido,Comercial,Fernanda Cruz,N3,0.2,48,Sim
INC-01972,2024-03-25 09:50,2024-03-25 10:20,Hardware,Baixa,Resolvido,Financeiro,Bruno Reis,N2,0.5,48,Sim
INC-01733,2024-03-25 11:13,2024-03-25 11:31,Email,Baixa,Resolvido,Diretoria,Diego Alves,N2,0.3,48,Sim
INC-02208,2024-03-25 11:14,2024-03-25 14:50,Acesso/Senha,Média,Resolvido,Financeiro,Diego Alves,N2,3.6,24,Sim
INC-02427,2024-03-25 11:15,2024-03-26 02:03,Rede/Internet,Baixa,Resolvido,Financeiro,Diego Alves,N2,14.8,48,Sim
INC-02447,2024-03-25 11:49,2024-03-25 12:07,Acesso/Senha,Média,Resolvido,Logística,Ana Souza,N1,0.3,24,Sim
INC-00937,2024-03-25 13:39,2024-03-25 15:33,Software,Alta,Resolvido,TI,Ana Souza,N1,1.9,8,Sim
INC-01450,2024-03-26 09:37,2024-03-27 01:07,Software,Média,Resolvido,RH,Ana Souza,N1,15.5,24,Sim
INC-01075,2024-03-26 09:57,2024-03-26 12:21,Hardware,Baixa,Resolvido,Diretoria,Carlos Lima,N1,2.4,48,Sim
INC-01602,2024-03-26 10:54,2024-03-26 13:36,Email,Crítica,Resolvido,Operações,Bruno Reis,N2,2.7,4,Sim
INC-01985,2024-03-27 07:33,2024-03-27 08:51,Acesso/Senha,Alta,Resolvido,RH,Carlos Lima,N1,1.3,8,Sim
INC-00244,2024-03-27 14:24,2024-03-28 19:24,Software,Baixa,Resolvido,Operações,Fernanda Cruz,N3,29.0,48,Sim
INC-00461,2024-03-27 15:06,2024-03-28 01:24,Software,Baixa,Resolvido,Logística,Carlos Lima,N1,10.3,48,Sim
INC-01513,2024-03-27 15:39,2024-03-27 22:15,Acesso/Senha,Média,Resolvido,Operações,Ana Souza,N1,6.6,24,Sim
INC-01575,2024-03-28 13:02,2024-03-28 13:56,Acesso/Senha,Alta,Resolvido,Financeiro,Ana Souza,N1,0.9,8,Sim
INC-01233,2024-03-28 15:56,2024-03-28 16:08,Rede/Internet,Baixa,Resolvido,TI,Bruno Reis,N2,0.2,48,Sim
INC-00384,2024-03-29 07:03,2024-03-29 11:27,Hardware,Alta,Resolvido,Logística,Bruno Reis,N2,4.4,8,Sim
INC-01962,2024-03-29 08:29,2024-03-29 11:59,Impressora,Alta,Resolvido,Operações,Diego Alves,N2,3.5,8,Sim
INC-00469,2024-03-29 09:19,2024-03-29 09:31,Acesso/Senha,Crítica,Resolvido,Operações,Fernanda Cruz,N3,0.2,4,Sim
INC-01458,2024-03-29 10:23,2024-03-30 01:11,Rede/Internet,Baixa,Resolvido,Comercial,Fernanda Cruz,N3,14.8,48,Sim
INC-01448,2024-03-29 11:02,2024-03-29 12:02,Software,Média,Resolvido,Financeiro,Ana Souza,N1,1.0,24,Sim
INC-00924,2024-03-31 13:16,2024-04-01 00:52,Software,Alta,Resolvido,Diretoria,Ana Souza,N1,11.6,8,Não
INC-00720,2024-04-01 08:47,2024-04-01 14:41,Acesso/Senha,Baixa,Resolvido,Logística,Carlos Lima,N1,5.9,48,Sim
INC-00342,2024-04-01 11:46,2024-04-01 12:22,Acesso/Senha,Alta,Resolvido,TI,Bruno Reis,N2,0.6,8,Sim
INC-00200,2024-04-01 14:45,2024-04-01 18:03,Rede/Internet,Alta,Resolvido,RH,Fernanda Cruz,N3,3.3,8,Sim
INC-01242,2024-04-02 10:25,2024-04-02 11:43,Acesso/Senha,Média,Resolvido,Financeiro,Diego Alves,N2,1.3,24,Sim
INC-01598,2024-04-02 14:55,2024-04-03 11:31,Sistema Interno,Média,Resolvido,RH,Bruno Reis,N2,20.6,24,Sim
INC-01209,2024-04-02 16:18,2024-04-03 05:54,Hardware,Baixa,Resolvido,Diretoria,Ana Souza,N1,13.6,48,Sim
INC-02204,2024-04-03 11:17,2024-04-03 17:17,Impressora,Média,Resolvido,Operações,Ana Souza,N1,6.0,24,Sim
INC-00426,2024-04-04 07:44,2024-04-05 00:08,Software,Baixa,Resolvido,Logística,Carlos Lima,N1,16.4,48,Sim
INC-01990,2024-04-04 08:40,2024-04-04 08:58,Email,Crítica,Resolvido,Financeiro,Diego Alves,N2,0.3,4,Sim
INC-02497,2024-04-04 08:47,2024-04-04 22:23,Impressora,Média,Resolvido,Operações,Carlos Lima,N1,13.6,24,Sim
